"X.Y..m..d","DANISH"
"1980-01-03",1.68374817
"1980-01-04",2.093704246
"1980-01-05",1.732581259
"1980-01-07",1.779754026
"1980-01-07",4.612005857
"1980-01-10",8.725273792
"1980-01-10",7.89897511
"1980-01-16",2.208045388
"1980-01-16",1.486090776
"1980-01-19",2.796171303
"1980-01-21",7.320644217
"1980-01-21",3.36749634
"1980-01-24",1.464128843
"1980-01-25",1.722222548
"1980-01-26",11.37481698
"1980-01-26",2.482739385
"1980-01-28",26.21464129
"1980-02-03",2.002430454
"1980-02-05",4.530014641
"1980-02-07",1.841752562
"1980-02-10",3.806734993
"1980-02-13",14.12207613
"1980-02-16",5.424253294
"1980-02-19",11.71303075
"1980-02-20",1.515373353
"1980-02-21",2.53858858
"1980-02-22",2.049780381
"1980-02-23",12.46559297
"1980-02-25",1.735445095
"1980-02-27",1.68374817
"1980-03-07",3.323852123
"1980-03-13",1.82102489
"1980-03-13",2.415812592
"1980-03-13",1.464128843
"1980-03-17",5.875901903
"1980-03-20",1.792439239
"1980-03-21",3.338213763
"1980-03-22",1.584487555
"1980-03-26",1.931320644
"1980-04-06",2.049780381
"1980-04-10",1.573758419
"1980-04-11",1.756954612
"1980-04-14",4.931185944
"1980-04-15",5.41727672
"1980-04-16",1.537335286
"1980-04-25",17.56954612
"1980-04-25",1.691122987
"1980-04-26",1.581612006
"1980-05-01",1.467115666
"1980-05-01",2.049780381
"1980-05-02",1.928711567
"1980-05-02",3.263153734
"1980-05-04",1.704245974
"1980-05-07",2.074607613
"1980-05-09",3.294289898
"1980-05-10",1.83997511
"1980-05-16",7.320644217
"1980-05-18",7.320644217
"1980-05-20",1.576215227
"1980-05-20",4.856098097
"1980-05-21",1.542275256
"1980-05-26",13.62079063
"1980-05-29",1.756954612
"1980-05-29",1.639824305
"1980-06-02",2.036377745
"1980-06-03",21.96193265
"1980-06-11",1.799026354
"1980-06-12",2.452415813
"1980-06-15",2.669106881
"1980-06-15",2.024146413
"1980-06-16",1.724743777
"1980-06-17",1.643863836
"1980-06-21",1.96193265
"1980-06-30",4.626647145
"1980-07-02",1.464128843
"1980-07-04",3.963250366
"1980-07-04",5.563852123
"1980-07-07",4.39238653
"1980-07-10",3.640313324
"1980-07-12",1.677891654
"1980-07-14",1.449487555
"1980-07-15",263.250366
"1980-07-25",2.500732064
"1980-07-26",1.825768668
"1980-07-26",9.882869693
"1980-07-28",2.146617862
"1980-07-29",2.870259151
"1980-08-07",6.319913616
"1980-08-08",2.123461201
"1980-08-08",2.9238653
"1980-08-11",2.036376281
"1980-08-18",1.736456808
"1980-08-18",2.049780381
"1980-08-20",1.903367496
"1980-08-21",1.610541728
"1980-08-23",1.717423133
"1980-08-23",3.129437775
"1980-08-27",2.05195754
"1980-08-28",1.967518302
"1980-08-28",2.102489019
"1980-08-28",3.259150805
"1980-08-30",1.998535871
"1980-08-30",5.41727672
"1980-09-02",2.819836018
"1980-09-04",3.697083455
"1980-09-05",2.045387994
"1980-09-05",2.679355783
"1980-09-08",3.426224012
"1980-09-11",1.588579795
"1980-09-12",4.262871157
"1980-09-12",1.755859444
"1980-09-14",1.987005857
"1980-09-15",1.661925329
"1980-09-15",7.613469985
"1980-09-15",1.794878477
"1980-09-15",6.674816984
"1980-09-25",2.185944363
"1980-09-28",3.855051245
"1980-09-30",3.221083455
"1980-10-01",2.122986823
"1980-10-01",1.760291362
"1980-10-06",2.041653001
"1980-10-07",3.755938507
"1980-10-07",2.242111274
"1980-10-08",1.721112738
"1980-10-09",1.464128843
"1980-10-12",4.711891654
"1980-10-14",2.153824305
"1980-10-16",3.874812592
"1980-10-17",19.07027818
"1980-10-20",1.887262079
"1980-10-23",1.464128843
"1980-10-24",1.536163982
"1980-10-25",2.560065886
"1980-10-27",2.799707174
"1980-10-29",2.01317716
"1980-10-30",1.464128843
"1980-11-05",6.325036603
"1980-11-07",1.567300146
"1980-11-09",2.196193265
"1980-11-10",2.335285505
"1980-11-13",2.115666179
"1980-11-14",1.469544656
"1980-11-18",5.402635432
"1980-11-18",5.314787701
"1980-11-19",2.872620791
"1980-11-20",2.781844802
"1980-11-25",2.576821376
"1980-12-06",3.10102489
"1980-12-07",1.464128843
"1980-12-08",2.049780381
"1980-12-09",1.96193265
"1980-12-09",1.464128843
"1980-12-09",2.635431918
"1980-12-10",1.464128843
"1980-12-10",5.856515373
"1980-12-12",3.294289898
"1980-12-14",2.520856515
"1980-12-17",19.47291362
"1980-12-17",1.835462665
"1980-12-19",2.049780381
"1980-12-23",2.783308931
"1980-12-25",2.781844802
"1980-12-26",1.756954612
"1980-12-27",2.840409956
"1980-12-31",2.330893119
"1981-01-01",1.756225426
"1981-01-01",1.314547837
"1981-01-01",2.403971166
"1981-01-03",6.915630406
"1981-01-07",1.491876802
"1981-01-17",1.532395806
